inventoryItemId,cardTraderId,blueprintId,game,setCode,name,condition,isFoil,price,totalQuantity,bin,row,locationQuantity
69e535b59ca1ed48e7d99c37,409244243,,1,mkm,A Killer Among Us,Near Mint,FALSE,0.05,3,Bin 5,8,1
69e535b59ca1ed48e7d99c37,409244243,,1,mkm,A Killer Among Us,Near Mint,FALSE,0.05,3,Bin 5,36,2
69efe9384ff24d3a84876e72,411358538,,1,snc,A Little Chat,Near Mint,FALSE,0.03,1,Bin 7,20,1
69af68b234ce719e27b743cf,398052938,,1,tla,Aang's Journey,Near Mint,FALSE,0.03,4,Bin 6,17,2
69af68b234ce719e27b743cf,398052938,,1,tla,Aang's Journey,Near Mint,FALSE,0.03,4,Bin 6,29,2
69af6d5f34ce719e27b744ab,398148027,,1,tle,"Aang, A Lot to Learn",NM,FALSE,0.09,1,Bin 6,18,1
699b75ae34ce719e27b6e5b3,393858090,,1,tla,"Aang, the Last Airbender",NM,FALSE,0.05,1,Bin 6,8,1
69af6d5d34ce719e27b7447f,398147711,,1,tla,Abandon Attachments,Near Mint,FALSE,0.03,0,,,
69e534549ca1ed48e7d99bbc,409242924,,1,mid,Abandon the Post,Near Mint,FALSE,0.03,0,,,
69e9359a7ecc73c161d911b1,410018258,,1,dsk,Abandoned Campground,Near Mint,FALSE,0.05,1,Bin 1,37,1
69e427ca9ca1ed48e7d9923e,409088132,,1,ktk,Abomination of Gudul,Near Mint,FALSE,0.05,6,Bin 5,9,6
69e534469ca1ed48e7d99af5,409242770,,1,fdn,Abrade,Near Mint,FALSE,0.03,0,,,
69c32dbd9ca1ed48e7d90b79,402049699,,1,lci,Abrade,Near Mint,FALSE,0.07,7,Bin 1,5,7
69e535b89ca1ed48e7d99c61,409244276,,1,mkm,Absolving Lammasu,Near Mint,FALSE,0.03,2,Bin 5,8,1
69e535b89ca1ed48e7d99c61,409244276,,1,mkm,Absolving Lammasu,Near Mint,FALSE,0.03,2,Bin 5,36,1
69e53ab49ca1ed48e7d99d52,409246483,,1,ogw,Abstruse Interference,Near Mint,FALSE,0.03,6,Bin 5,29,6
69e93a287ecc73c161d921b4,410020569,,1,ogw,Abstruse Interference,Near Mint,TRUE,0.1,1,Bin 7,10,1
69b0bf1c9ca1ed48e7d8b557,398394949,,1,ktk,Abzan Banner,Near Mint,FALSE,0.03,10,Bin 6,33,3
69b0bf1c9ca1ed48e7d8b557,398394949,,1,ktk,Abzan Banner,Near Mint,FALSE,0.03,10,Bin 6,37,1
69b0bf1c9ca1ed48e7d8b557,398394949,,1,ktk,Abzan Banner,Near Mint,FALSE,0.03,10,Bin 5,9,6
69e957d17ecc73c161d987dc,410039908,,1,tdm,Abzan Devotee,Near Mint,FALSE,0.05,2,Bin 7,12,2
69e427ca9ca1ed48e7d9923b,409088131,,1,ktk,Abzan Guide,Near Mint,FALSE,0.03,8,Bin 5,9,8
69ed5f1179f49147a08131cc,410865265,,1,ktk,Abzan Guide,Near Mint,TRUE,0.05,1,Bin 7,17,1
699bbb7e34ce719e27b6ec76,393884998,,1,frf,Abzan Skycaptain,NM,FALSE,0.05,1,Bin 6,10,1
69e7dda99ca1ed48e7d9b023,409778111,,1,kld,Accomplished Automaton,Near Mint,FALSE,0.05,1,Bin 7,5,1
699b7d3c34ce719e27b6e7ff,393860727,,1,mh3,Accursed Marauder,NM,TRUE,0.15,0,,,
69e7ea149ca1ed48e7d9b298,409784021,,1,soi,Accursed Witch // Infectious Curse,Near Mint,TRUE,0.35,1,Bin 7,8,1
69b04eb39ca1ed48e7d8aed8,398299259,,1,soi,Accursed Witch // Infectious Curse,Near Mint,FALSE,0.23,1,Bin 6,27,1
69c322e89ca1ed48e7d90aaf,402044518,,1,lci,Acolyte of Aclazotz,Near Mint,FALSE,0.04,7,Bin 1,2,7
699b7d3334ce719e27b6e757,393860681,,1,tor,Acorn Harvest,LP,FALSE,0.9,0,,,
699b7d3134ce719e27b6e734,393860669,,1,tor,Acorn Harvest,LP,FALSE,0.95,0,,,
69e934c27ecc73c161d90f48,410017676,,1,dsk,Acrobatic Cheerleader,Near Mint,FALSE,0.03,15,Bin 1,36,15
69c34bfc9ca1ed48e7d90c32,402068382,,1,lci,Acrobatic Leap,Near Mint,FALSE,0.03,4,Bin 1,6,4
69af68b634ce719e27b74407,398052957,,1,tle,Acrobatic Leap,NM,FALSE,0.06,1,Bin 6,17,1
69e7dda29ca1ed48e7d9af9b,409778059,,1,kld,Acrobatic Maneuver,Near Mint,TRUE,0.1,0,,,
69e41c889ca1ed48e7d98fde,409079435,,1,kld,Acrobatic Maneuver,Near Mint,FALSE,0.03,1,Bin 5,1,1
69b0c7639ca1ed48e7d8b6b1,398398116,,1,gtc,Act of Treason,Near Mint,FALSE,0.04,2,Bin 6,33,2
69ed5f1b79f49147a081335e,410865353,,1,ktk,Act of Treason,Near Mint,TRUE,0.05,1,Bin 7,17,1
69b0c7639ca1ed48e7d8b6ae,398398115,,1,ktk,Act of Treason,Near Mint,FALSE,0.03,4,Bin 6,33,1
69b0c7639ca1ed48e7d8b6ae,398398115,,1,ktk,Act of Treason,Near Mint,FALSE,0.03,4,Bin 5,7,3
69b0c7639ca1ed48e7d8b6ab,398398114,,1,ori,Act of Treason,Near Mint,FALSE,0.03,0,,,
69e427c69ca1ed48e7d99208,409088116,,1,vow,Adamant Will,Near Mint,FALSE,0.03,2,Bin 5,9,2
69c34bfc9ca1ed48e7d90c2f,402068381,,1,lci,Adaptive Gemguard,Near Mint,FALSE,0.03,5,Bin 1,6,5
69af518434ce719e27b7411e,397759295,,1,iko,Adaptive Shimmerer,NM,FALSE,0.03,5,Bin 6,14,2
69af518434ce719e27b7411e,397759295,,1,iko,Adaptive Shimmerer,NM,FALSE,0.03,5,Bin 6,15,2
69af518434ce719e27b7411e,397759295,,1,iko,Adaptive Shimmerer,NM,FALSE,0.03,5,Bin 6,20,1
69b0b7a29ca1ed48e7d8b39f,398391700,,1,gtc,Adaptive Snapjaw,Near Mint,FALSE,0.03,1,Bin 6,31,1
